model,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_mape_mean
linear_regression,17820.502104030867,25084.19349829196,0.8833380643275045,0.09286904874071163
random_forest,18888.015694925325,27195.02918998526,0.8629733963179059,0.09032340712292321
gradient_boosting,16029.946816787857,23020.253521863673,0.901794663369146,0.07647782745579944
xgboost,16459.214609469185,23695.18790904221,0.8959546134126878,0.07809602871084213
lightgbm,16375.578084954317,23607.593762341,0.8967601392574216,0.07778406404694076
catboost,15658.112775976791,22309.8783018962,0.9077537989296873,0.07475144804434473
